Solution_ID,Text
191,"Programme d'inspection et de réparation des purgeurs, Purgeur"
192,"Remplacement des purgeurs défaillants bloqués en position ouverte ou fermé, Purgeur"
193,"Vérification de la dimension des purgeurs et remplacement si nécessaire, Purgeur"
194,"Vérification de l'état et le dimensionnement de l'isolation et remplacer celle-ci quand nécessaire, Réseau"
196,"Elimination des fuites de vapeur, Réseau"
197,"Réduction des fuites de condensats, Condensat"
198,"Analyse de l'état du réseau vapeur et du réseau des condensats, Réseau"
199,"Analyse thermographique du réseau et de la chaudière, Condensat"
200,"Prévention et élimination des dépôts de tartre sur les surfaces de transfert de chaleur, Echangeur thermique"
201,"Ajout ou réparation des réfractaires d'une chaudière vapeur, Maintenance"
202,"Vapeur sèche pour le procédé, Gestion et pilotage"
203,"Diminution du débit vapeur quand cela est possible, Gestion et pilotage"
204,"Réduction de la pression quand cela est possible, Régulation"
205,"Amélioration des procédures et des contrôles des chaudières vapeur, Maintenance"
206,"Chaudière à eau chaude en remplacement d'une chaudière vapeur, Chaudière"
207,"Contrôle séquentiel des chaudières vapeur, Régulation"
208,"Minimisation des purges de la chaudière en améliorant le traitement de l'eau, Traitement de l'eau"
209,"Optimisation du taux de mise à l'air libre du desaérateur, Désaérateur"
210,"Augmentation du rendement de l'économiseur, Récupération de chaleur"
211,"Récupération du condensat, Condensat"
212,"Récupération de la chaleur du condensat, Récupération de chaleur"
213,"Préchauffage de l'eau d'alimentation par utilisation de la chaleur procédé, Récupération de chaleur"
214,"Economiseur sur les effluents gazeux de chaudière de production de vapeur, Récupération de chaleur"
215,"Préchauffage de l'eau : utiliser l'eau d'alimentation désaérée pour chauffer le condensat retournant à la chaudière, Récupération de chaleur"
216,"Préchauffage de l'eau d'alimentation en condensant la vapeur utilisée pour la revaporisation et en chauffant l'eau alimentant le desaérateur au moyen d'un échangeur, Récupération de chaleur"
217,"Réemploi de la vapeur de détente, Récupération de chaleur"
218,"Récupération de l'énergie provenant des purges de vapeur, Récupération de chaleur"
219,"Turbine de détente pour récupérer le contenu énergétique de gaz sous pression, Réseau"
221,"Adaptation de l'éclairage artificiel au besoin réel de chaque zone, Gestion et pilotage"
222,"Gradation de l'éclairage en fonction de la luminosité ambiante par des ballasts électroniques de catégorie A1, Régulation"
223,"Remplacement des lampes incandescentes par des fluo-compactes (basse consommations), Luminaire"
225,"Adaptateur T5 sur luminaire T8 existant, Luminaire"
226,"Tubes à LED pour l'éclairage intérieur en remplacement de tubes T8, Luminaire"
227,"Tube fluorescent T5 à douilles G13 pouvant être installés directement sur des luminaires T8, Luminaire"
228,"Gradation de l'éclairage en fonction de la luminosité ambiante par des régulateurs sur lampes à décharge, Régulation"
229,"Interrupteur crépusculaire, Gestion et pilotage"
230,"Horloge astronomique, Régulation"
231,"Système de télésurveillance et de télégestion, Régulation"
232,"Nettoyage périodique des luminaires, Maintenance"
233,"Suppression des lampes inutiles dès que possible, Maintenance"
234,"Débranchement des ballast électroniques inutilisés, Maintenance"
235,"Réduction de l'éclairage général et renforcement de l'éclairage local des postes de travail, Régulation"
236,"Eclairage naturel : puits de jour, lanterneaux d'éclairage zénithal, Eclairage naturel"
239,"Consignes au personnel pour l'extinction des lumières des pièces non occupées ou des couloirs, Gestion et pilotage"
240,"Cogénération : autoproduction de son électricité ou revente au réseau, Cogénération grande taille"
241,"Révision du contrat électrique et adaptation de la puissance souscrite, Contrat"
242,"Optimisation du contrat d'électricité règlementé, Contrat"
243,"Démarreur sur les moteurs électriques, Régulation"
245,"Mesure, comptage et sous comptage d'énergie des unités consommatrices, Indicateurs et tableau de bord"
246,"Récupération de la chaleur perdue des gaz de combustion, Récupération de chaleur"
248,"Système de contrôle des durées d'allumage des brûleurs, Brûleur"
249,"Moteur à haut rendement label IE2 (EFF1), Moteur"
250,"Isolation des combles ou de toiture, Isolation"
251,"Isolation des murs par l'intérieur, Isolation"
252,"Isolation d'un plancher, Isolation"
253,"Fenêtres à double vitrage avec isolation renforcée à l'argon, Isolation"
254,"Isolation des murs par l'extérieur, Isolation"
255,"Isolation des toitures terrasses et couvertures de faible pente, Isolation"
256,"Sensibilisation du personnel sur le coût élevé du chauffage, Chauffage"
257,"Sensibilisation du personnel sur le coût élevé de la production de vapeur, Gestion et pilotage"
258,"Sensibilisation du personnel sur le coût élevé de la production de l'air comprimé, Gestion et pilotage"
259,"Sensibilisation du personnel sur le coût élevé de la production de froid, Gestion et pilotage"
260,"Sensibilisation du personnel sur le coût élevé du chauffage et de la climatisation, Climatisation"
261,"Programme de maintenance pour les portes et les fenêtres, Vitrage"
262,"Vérification de la présence de traces d'humidité, Etanchéité et infiltrations"
263,"Identification des conduits ou cheminées inutiles, Etanchéité et infiltrations"
264,"Arrêt des ventilateurs de rafraîchissement en hiver, Ventilation"
265,"Asservissement du chauffage à l'ouverture des portes et fenêtres, Chauffage"
266,"Séparation des parties chauffées et non chauffées du bâtiment, Chauffage"
267,"Réduction de l'air entrant au niveau des quais d'expéditions, Etanchéité et infiltrations"
268,"Chauffage efficace des locaux de grande hauteur, Chauffage"
269,"Isolation des parois verticales entre les ateliers, Isolation"
270,"Protections solaires pour l'été, Vitrage"
271,"Faux plafonds pour limiter le volume chauffé, Chauffage"
272,"Vérification de la présence de fuites d'eau, Maintenance"
273,"Contrôle régulier des chaudières vapeur, Maintenance"
274,"Chaudière de type basse température, Chaudière"
275,"Sensibilisation du personnel de production pour signaler immédiatement au service Entretien les fuites constatées, Gestion et pilotage"
276,"Chaudière à condensation, Chaudière"
277,"Plancher chauffant basse température, Chauffage"
279,"Réglage fixe des thermostats et des robinets thermostatiques, Chauffage"
280,"Vérification et optimisation des consignes de chauffage en fonction des locaux et de leur utilisation, Chauffage"
282,"Prise en compte les considérations du personnel sur les conditions d'ambiance dans lesquelles ils travaillent, Gestion et pilotage"
283,"Nettoyage régulier des filtres et des surfaces de chauffe, Chauffage"
285,"Dégagement des radiateurs et des surfaces de chauffe, Chauffage"
286,"Vérification des robinets et des soupapes de sécurité, Chauffage"
287,"Sensibilisation du personnel sur l'ouverture des fenêtres pendant la période de chauffe, Chauffage"
290,"Radiateur à chaleur douce pour un chauffage central à combustible, Chauffage"
291,"Isolation d'un réseau hydraulique de chauffage, Chauffage"
292,"Systèmes de chauffage rayonnant couplés à des thermostats, Chauffage"
293,"Remplacement des thermostats mécaniques par des thermostats électroniques, Chauffage"
294,"Systèmes de chauffage rayonnant couplés à une GTC, Chauffage"
295,"Chauffage et la climatisation adaptés à l'occupation des locaux, Chauffage"
296,"Chaufferie biomasse dans le tertiaire, Chaudière"
297,"Programmateur d'intermittence sur une chaudière existante pour un chauffage central à combustible, Régulation"
298,"Optimiseur de relance pour chauffage central à combustible, Chauffage"
299,"Cahier de maintenance à jour, Maintenance"
300,"Plans techniques facilement accessibles, Maintenance"
301,"Documents informatifs sur le matériel sujet à des réglages simples facilement accessible, Maintenance"
302,"Vérification du bon état de la ventilation, Maintenance"
304,"Utilisation de la plus petite chaudière quand les besoins sont les plus faibles pour maximiser la charge, Gestion et pilotage"
305,"Arrêt des chaudières dédiées au chauffage des locaux en été, Gestion et pilotage"
306,"Vérification de la régulation lorsque les chaudières sont à l'arrêt, Gestion et pilotage"
307,"Adoucissement de l'eau de ville du circuit chauffage, Traitement de l'eau"
308,"Démarrage en cascade des chaudières, Régulation"
309,"Professionnel pour l'entretien annuel des chaudières, Maintenance"
310,"Contrôle des performances des chaudières, Maintenance"
311,"Fonctionnement des chaudières en autocontrôle ou en télésurveillance, Maintenance"
312,"Utilisation optimale de la chaudière, Gestion et pilotage"
314,"Vérification du débit d'eau chaude sanitaire, Production"
315,"Société de maintenance spécialisée sous contrat pour l'entretien, Maintenance"
316,"Vérification du contrat de maintenance afin de voir s'il est adapté, Maintenance"
317,"Vérification de la circulation dans les canalisations, Réseau"
319,"Vérification des débits de circulation primaire et secondaire, Régulation"
320,"Amélioration de l'isolation des chaudières, Chaudière"
321,"Isolation du réseau de distribution de chaleur, Récupération de chaleur"
322,"Récupérateur de chaleur à condensation, Fumées"
323,"Séparation de la production d'eau chaude et de chauffage, Production"
324,"Réaction face aux pannes répétées, Maintenance"
325,"Récupérateur sur les fumées pour préchauffer l’air comburant, Air de combustion"
327,"Analyse de la pertinence du fluide caloporteur, Gestion et pilotage"
328,"Fonctionnement du moteur à pleine charge, Ajustement production/besoin"
329,"Rénovation du poste éclairage par l'utilisation de lampes ou ballasts de meilleure efficacité, Gestion et pilotage"
330,"Elimination des fuites dans les lignes et vannes de gaz d'inertage et d'air comprimé, Maintenance"
331,"Moteur d'efficacité standard label IE1 (EFF2), Moteur"
332,"Réduction de la pression de l'air comprimé au minimum requis, Gestion et pilotage"
333,"Isolation des équipements qui ne le sont pas, Maintenance"
334,"Détecteurs de présence, Gestion et pilotage"
335,"Utilisation d'une source lumineuse plus efficace, Luminaire"
336,"Analyse des effluents gazeux pour ajuster correctement le ratio air/combustible, Air de combustion"
337,"Programme de maintenance préventive, Maintenance"
338,"Maintien des équipements propres, Maintenance"
339,"Réparation des fuites dans les lignes et les vannes, Vanne"
340,"Maintenance sur les machines afin d'en réduire les pertes, Maintenance"
341,"Réparation des fuites dans les lignes et vannes d'eau, Réseau"
342,"Formation du personnel pour éviter les pertes de temps et de production, Sensibilisation"
343,"Plan de maintenance des brûleurs des chaudières, Maintenance"
344,"Augmentation du diamètre des câbles pour diminuer des pertes par effet Joule, Régulation"
345,"Vérification de la puissance réactive, Condensateur"
346,"Minimisation du fonctionnement des moteurs au ralenti ou à faible charge, Régulation"
347,"Réduction de la température de combustion, Fumées"
348,"Augmentation du transfert de chaleur vers le procédé, Chaudière"
349,"Récupération de la chaleur des fumées pour production d'eau chaude et génération de froid, Récupération de chaleur"
350,"Préchauffeur d'air pour chaudière, Air de combustion"
351,"Préchauffage du combustible, Récupération de chaleur"
352,"Nettoyage des surfaces de transfert de chaleur, Maintenance"
353,"Vérification de la correspondance entre la sortie de la combustion et les exigences en chauffage, Fumées"
354,"Repositionnement de l'admission d'air du brûleur au plafond de la chaufferie, Air de combustion"
355,"Brûleurs récupératifs et régénératifs, Brûleur"
356,"Brûleur haut rendement micromodulant sur une chaudière de production de vapeur ou eau surchauffée, Brûleur"
357,"Réduction du débit massique des gaz de combustion par une réduction de l'excès d'air, Air de combustion"
358,"Régulation et contrôle des brûleurs, Brûleur"
359,"Réflexion sur le choix du combustible, Gestion et pilotage"
360,"Oxycombustion, Brûleur"
361,"Réduction des pertes de chaleur par les ouvertures du four, Four"
364,"Inspection et vérification de l'état de l'isolation, Maintenance"
365,"Sensibilisation sur le coûts d'un purgeur fuyard, Purgeur"
366,"Vérification des joints d'étanchéité, Réseau"
367,"Calorifugeage des vannes, des robinets et des postes de détente sur un réseau vapeur, Réseau"
368,"Chauffe eau solaire collectif (CESC), Production"
370,"Pompe à chaleur de type eau/eau, Chauffage"
371,"Pompe à chaleur de type air/eau, Chauffage"
373,"Gestion technique d'un bâtiment (GTB), Gestion et pilotage"
374,"Programmateur d'intermittence pour un chauffage par radiateurs électriques, Chauffage"
376,"Isolation d'un réseau d'eau chaude sanitaire existant, Réseau"
377,"Remplacement d'un climatiseur existant par un climatiseur fixe de classe A, Climatisation"
378,"Programmateur d'intermittence pour les systèmes de climatisation, Climatisation"
379,"Ventilation mécanique modulée proportionnelle, Ventilation"
380,"Ventilation mécanique modulée à détection de présence, Ventilation"
381,"Ventilation mécanique contrôlée simple flux autoréglable, Ventilation"
382,"Ventilation mécanique contrôlée double flux avec échangeur, Ventilation"
384,"Raccordement à un réseau de chaleur, Chauffage"
385,"Mini-cogénération sans obligation d'achat, Micro/mini-cogénération"
386,"Circulateur à rotor noyé de classe A, Chauffage"
388,"Unité autonome de traitement d'air en toiture à haute performance énergétique, Ventilation"
389,"Groupe de production d'eau glacée avec condenseur sur eau, Condenseur"
390,"Echangeur air neuf / air extrait sur centrale de traitement d'air (DOM), Ventilation"
391,"Accumulateur d'eau chaude à condensation, Production"
392,"Système de climatisation centralisée de type DRV, Climatisation"
393,"Analyse de la qualité et de la conception de l'éclairage, Gestion et pilotage"
394,"Gestion de l'éclairage, Gestion et pilotage"
395,"Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option A, Gestion et pilotage"
396,"Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option B, Gestion et pilotage"
397,"Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option C, Gestion et pilotage"
398,"Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option D, Gestion et pilotage"
399,"Horloge sur un dispositif d'éclairage, Régulation"
400,"Lampes à iodures métalliques à brûleur céramique en remplacement de lampe à vapeur de mercure, Luminaire"
403,"Nappe d'éclairage fluorescent en tube de typeT5, Luminaire"
404,"Système de mise au repos automatique de blocs autonomes d'éclairage de sécurité (BAES), Gestion et pilotage"
405,"Porte non chauffante à haute performance d'isolation pour armoire horizontale à froid négatif, Meuble frigorifique"
406,"Lampe fluo-compacte de classe A, Luminaire"
407,"Participation du personnel à l'extinction de l'éclairage en période d'inoccupation, Gestion et pilotage"
408,"Etiquette pour l'identification des interrupteurs, Gestion et pilotage"
411,"Extinction de la lumière des zones souvent inoccupées, Régulation"
412,"Extinction des luminaires extérieurs quand ils ne sont pas nécessaires, Régulation"
414,"Caches adéquats pour les luminaires, Maintenance"
415,"Programme d'entretien ou plan de remplacement de l'éclairage, Maintenance"
416,"Programmateurs pour le contrôle de l'allumage, Régulation"
418,"Luminaire avec réflecteur pour l'éclairage., Luminaire"
419,"Lampes à induction dans les zones difficile d'accès., Luminaire"
420,"Suppression des ampoules à incandescences, Luminaire"
421,"Commandes individualisées de l'éclairage à distance, Régulation"
422,"Coupe-veille automatique par détection d'utilisation des appareils raccordés, Appareils électriques"
423,"Coupe-veille en hébergement relié au système d'accès., Appareils électriques"
424,"Transformateur à haut rendement pour l'alimentation basse tension d'un site tertiaire, Transformateur"
425,"Système de pilotage par intermittence des centrales de traitement d'air (DOM), Ventilation"
426,"Contrat de Performance Energétique (CPE), Contrat"
427,"Connaissance approfondie de la répartition de la consommation d'énergie du site, Indicateurs et tableau de bord"
428,"Politique environnementale, Management (ISO 50 001)"
429,"Comité énergie interne au site pour piloter la politique énergétique du site., Stratégie et politique"
430,"Création d'un poste de responsable énergie, Management (ISO 50 001)"
431,"Concurrence des fournisseurs d'énergies, Contrat"
432,"Achat d'énergie mutualisé, Contrat"
433,"Vérification des factures d'énergie, Contrat"
435,"Liste de fournisseur d'énergie potentiels, Contrat"
437,"Démagnétiseur sur les fours, Gestion et pilotage"
439,"Procédure pour relever les compteurs, Appareils électriques"
440,"Analyse des irrégularités du profil de production, Indicateurs et tableau de bord"
441,"Mesure des consommations énergétiques la nuit durant le tarif ""heures creuses"", Mesure et comptage d’énergie"
442,"Optimisation des achats selon la variation du prix du fioul, Management (ISO 50 001)"
443,"Utilisation des DJU pour analyser le chauffage., Indicateurs et tableau de bord"
444,"Suivi des performances de production, Indicateurs et tableau de bord"
445,"Comparaison des performances énergétiques avec d'autres sites industriels, Indicateurs et tableau de bord"
446,"Objectifs chiffrés de réduction de consommation d'énergie, Stratégie et politique"
447,"Motivation du personnel pour trouver des idées d'économies d'énergie réalisables., Sensibilisation"
448,"Bibliothèque des documentations constructeurs relatives aux matériels énergétiques de l'entreprise, Maintenance"
449,"Formation du personnel à l'utilisation rationnelle de l'énergie, Management (ISO 50 001)"
450,"Communication sur les bénéfices d'une politique d'économie d'énergie, Stratégie et politique"
451,"Unité de transport intermodal (UTI), Report modal"
452,"Pneus d'autobus à basse résistance au roulement, Matériel roulant"
453,"Télématique embarquée pour le suivi de la conduite d'un véhicule, Gestion et pilotage"
454,"Lubrifiant économiseur d'énergie, Maintenance"
455,"Suivi des consommations de carburant grâce à des cartes privatives, Gestion et pilotage"
456,"Pneus de véhicules légers à basse résistance au roulement., Matériel roulant"
457,"Unité de transport intermodal pour le transport combiné fleuve-route, Report modal"
458,"Wagon d'autoroute ferroviaire, Report modal"
459,"Acquisition d'une barge fluviale, Report modal"
460,"Acquisition d'un automoteur fluvial, Report modal"
461,"Groupe frigorifique autonome à haute efficacité énergétique pour camions, semi remorques, remorques et caisses mobiles frigorifiques, Matériel roulant"
462,"Groupe frigorifique non autonome à haute efficacité énergétique pour camions, semi remorques, remorques et caisses mobiles frigorifiques, Matériel roulant"
463,"Lubrifiant économiseur d'énergie pour des véhicules de transport de personnes ou de marchandises, Maintenance"
